PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 12
0,1937843403,0.0651170015335083,-0.7589941620826721,-0.1755086481571197,-0.6236010193824768,0.0,0.0,0.0,0.0,0.0,0.0, 
1,1937860070,0.0667666941881179,-0.7582059502601624,-0.175468310713768,-0.624401330947876,9.514257431030272,0.9757978320121764,-1.9698703289031985,-0.4268356263637543,2.579025983810425,2.2255449295043945, 
2,1937876737,0.0690103471279144,-0.757474958896637,-0.1744202971458435,-0.6253374218940735,9.458904266357422,0.7492215633392334,-1.9707146883010864,0.3842865228652954,2.2144930362701416,1.441219925880432, 
3,1937893404,0.07258041203022,-0.757090151309967,-0.1728948950767517,-0.6258226633071899,9.360977172851562,1.0396302938461304,-2.0713508129119877,1.3477849960327148,1.971441507339477,1.468830704689026, 
4,1937910071,0.0741422176361084,-0.7571151256561279,-0.1721640527248382,-0.6258108615875244,9.418830871582031,1.1474382877349854,-2.090240478515625,-0.9476826786994934,1.5003470182418823,1.833491563796997, 
5,1937926738,0.0743095874786377,-0.757253885269165,-0.1717817485332489,-0.6257283091545105,9.419206619262695,1.019750475883484,-1.9412511587142944,-1.6966876983642578,1.4795881509780884,1.755744218826294, 
6,1937943405,0.074488341808319,-0.7571767568588257,-0.1716515570878982,-0.6258360743522644,9.46151351928711,0.927027702331543,-1.789472222328186,-1.6597028970718384,1.2149064540863037,1.469675898551941, 
7,1937960072,0.0746239051222801,-0.7569532990455627,-0.1712954044342041,-0.6261876821517944,9.51133918762207,0.9183807373046876,-1.7020772695541382,-0.9525362849235536,0.6677679419517517,1.0226573944091797, 
8,1937976739,0.0747511610388755,-0.7566377520561218,-0.1708962172269821,-0.6266626715660095,9.475236892700195,0.8997936844825745,-1.9422848224639893,-0.8296977877616882,-0.1272054761648178,0.62069171667099, 
9,1937993406,0.0751726999878883,-0.7563619017601013,-0.1708966046571731,-0.6269450187683105,9.453886032104492,0.9777172207832336,-2.1665987968444824,0.2072515338659286,-0.1040515899658203,0.2585794031620025, 
10,1938010073,0.0756167024374008,-0.7562193870544434,-0.171090692281723,-0.6270107626914978,9.392147064208984,1.16230309009552,-2.2639501094818115,0.4090027809143066,0.2724486589431762,0.270899087190628, 
11,1938026740,0.0755965486168861,-0.7562592029571533,-0.1710531860589981,-0.626975417137146,9.410237312316896,1.1504493951797483,-2.1278693675994877,-1.981116890907288,0.4379579722881317,0.8199201822280884, 
12,1938043407,0.0755857080221176,-0.7562963366508484,-0.1712126433849334,-0.6268882751464844,9.440227508544922,1.0188567638397217,-1.9421659708023071,-2.308293104171753,0.3814691305160522,0.8165392279624939, 
13,1938060074,0.0752469450235366,-0.7564008831977844,-0.1709933280944824,-0.6268627047538757,9.482297897338867,0.9450479745864868,-1.769573450088501,-2.073066473007202,0.1508652120828628,0.5668538808822632, 
14,1938076741,0.0751074254512786,-0.7564652562141418,-0.1710114479064941,-0.6267970204353333,9.472976684570312,1.0074938535690308,-1.8464832305908203,-1.6306196451187134,-0.7906767725944519,0.2065088003873825, 
15,1938093408,0.0750622525811195,-0.7564864754676819,-0.1711760014295578,-0.6267317533493042,9.439146995544434,1.0129843950271606,-2.119448661804199,-1.0098319053649902,-0.977034866809845,-0.1406137347221374, 
16,1938110075,0.0752153545618057,-0.7565044164657593,-0.1714088469743728,-0.6266281008720398,9.44082260131836,1.287745714187622,-2.4155099391937256,0.1227168515324592,-0.5954185128211975,0.3841969072818756, 
17,1938126742,0.0750493705272674,-0.7566028833389282,-0.1712517738342285,-0.6265720725059509,9.411113739013672,1.3170688152313232,-2.4816699028015137,-1.959179639816284,0.1094750836491584,1.3357727527618408, 
18,1938143409,0.0747847408056259,-0.7566759586334229,-0.1709814667701721,-0.6265894770622253,9.467764854431152,1.1372820138931274,-2.2780861854553223,-2.9902830123901367,1.242606520652771,1.8238099813461304, 
19,1938160076,0.0746682360768318,-0.7566705346107483,-0.1708829402923584,-0.6266367435455322,9.483808517456056,1.0665831565856934,-1.9840692281723025,-2.026732921600342,1.9129678010940552,1.5576812028884888, 
20,1938176743,0.0746274441480636,-0.7566559314727783,-0.1709003448486328,-0.6266542673110962,9.4611234664917,0.9979459643363952,-1.8474340438842771,-2.09281325340271,1.4056569337844849,1.3698502779006958, 
21,1938193410,0.0745306089520454,-0.7566773295402527,-0.1708514094352722,-0.6266534328460693,9.436935424804688,0.8601516485214233,-2.0975937843322754,-1.7822469472885132,0.8011460900306702,1.1547678709030151, 
22,1938210077,0.0747189000248909,-0.7566543221473694,-0.1710869520902633,-0.626594603061676,9.414548873901367,0.9817777276039124,-2.198033094406128,-0.3817828595638275,0.7056362628936768,0.8587617874145508, 
23,1938226744,0.0747785717248916,-0.7566774487495422,-0.1711053103208542,-0.6265543699264526,9.43735122680664,1.192312479019165,-2.231951236724853,-0.4540619552135467,0.8044629096984863,1.0326592922210691, 
24,1938243411,0.0747561454772949,-0.7567046880722046,-0.17100490629673,-0.6265515089035034,9.44045639038086,1.2020769119262695,-2.10337495803833,-1.2745776176452637,1.0345929861068726,1.353765845298767, 
25,1938260078,0.0747706666588783,-0.7566896677017212,-0.170941486954689,-0.6265853047370911,9.4605712890625,1.1115587949752808,-2.04548978805542,-1.0748369693756104,1.3574026823043823,1.369696855545044, 
26,1938276745,0.0747917145490646,-0.7566491961479187,-0.1708588898181915,-0.6266542077064514,9.464967727661133,1.002346754074097,-1.9723050594329836,-1.228333830833435,1.5552607774734497,1.45930278301239, 
27,1938293412,0.0749397799372673,-0.756583034992218,-0.1709464192390442,-0.626692533493042,9.458351135253906,0.9770260453224182,-2.044188976287842,-1.0165680646896362,1.3042434453964231,1.2738027572631836, 
28,1938310079,0.0749606490135192,-0.7565612196922302,-0.1708425432443618,-0.6267446875572205,9.447662353515623,0.9913371801376344,-2.2397119998931885,-0.7603896260261536,1.2536325454711914,1.300849676132202, 
29,1938326746,0.0750150606036186,-0.7565473914146423,-0.1707327514886856,-0.6267847418785095,9.40797996520996,1.1019141674041748,-2.232561588287353,-0.4335589706897735,1.2834970951080322,1.386818766593933, 
30,1938343413,0.0751346796751022,-0.756494402885437,-0.170649766921997,-0.6268569827079773,9.434221267700195,1.1198158264160156,-2.1154346466064453,-0.3442987203598022,1.6994473934173584,1.5473463535308838, 
31,1938360080,0.0753017738461494,-0.7564324736595154,-0.1705823540687561,-0.6269300580024719,9.472125053405762,1.0915998220443726,-1.9267303943634035,-0.2514526844024658,1.7415035963058472,1.724214792251587, 
32,1938376747,0.0753946229815483,-0.7563787698745728,-0.1704988032579422,-0.6270063519477844,9.4909086227417,1.006758689880371,-1.835758209228516,-0.4930572807788849,1.543466091156006,1.4474953413009644, 
33,1938393414,0.0753994956612587,-0.7563690543174744,-0.1704043298959732,-0.6270433068275452,9.461854934692385,0.9299172759056092,-1.845101356506348,-1.0891287326812744,0.890278160572052,1.178946018218994, 
34,1938410081,0.0753493309020996,-0.7563992738723755,-0.1702695190906524,-0.6270496845245361,9.439569473266602,0.9741351008415222,-2.029191255569458,-1.496882677078247,0.402125746011734,1.1358143091201782, 
35,1938426748,0.0753272026777267,-0.7564563751220703,-0.1701167523860931,-0.62702476978302,9.466864585876465,1.0882182121276855,-2.165799140930176,-1.064745545387268,0.1772206723690033,1.2844960689544678, 
36,1938443415,0.0754342600703239,-0.7564868927001953,-0.1699288636445999,-0.6270261406898499,9.437556266784668,1.3033004999160769,-2.40499210357666,-0.9284731149673462,0.5917750000953674,2.062020778656006, 
37,1938460082,0.0754618644714355,-0.7564718723297119,-0.1695427447557449,-0.6271454095840454,9.464255332946776,1.2922998666763306,-2.3535637855529785,-1.9913876056671145,1.5573803186416626,2.6599044799804688, 
38,1938476749,0.0755710154771804,-0.7563620209693909,-0.1691888868808746,-0.6273601055145264,9.49678897857666,1.1071217060089111,-2.185223340988159,-1.2434967756271362,2.644197940826416,2.7073843479156494, 
39,1938493416,0.0757694467902183,-0.7561721801757812,-0.1689172089099884,-0.6276382207870483,9.493886947631836,1.0508776903152466,-2.008841753005981,-0.880987286567688,3.347612142562866,2.6245012283325195, 
