PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 12
6,1937732950,0.4629080891609192,-0.28847736120224,-0.8132485151290894,-0.2027900367975235,8.7114896774292,0.6313132643699646,-4.730979442596436,-1.5985652208328247,1.0375255346298218,-0.6650463938713074, 
7,1937749617,0.4634112119674682,-0.2875379920005798,-0.8132045269012451,-0.2031514793634414,8.549368858337402,0.6153384447097778,-4.698421001434326,-1.0454719066619873,2.9887521266937256,-0.9566982984542848, 
8,1937766284,0.4640654027462005,-0.2865338623523712,-0.8131211400032043,-0.2034106403589248,8.3218355178833,0.6277289986610413,-4.6062774658203125,-0.5975443124771118,3.653172016143799,-1.6466021537780762, 
9,1937782951,0.4645957350730896,-0.2855727970600128,-0.8131126761436462,-0.2035851776599884,8.177414894104004,0.6348133087158203,-4.5704665184021,-0.3308776319026947,2.8758769035339355,-2.0209059715271, 
10,1937799618,0.4648635983467102,-0.2847280204296112,-0.8132320046424866,-0.203680157661438,8.21537971496582,0.6363513469696045,-4.558232307434082,-0.3806303441524505,1.271190166473389,-2.1164798736572266, 
11,1937816285,0.4649672210216522,-0.283983051776886,-0.8134397864341736,-0.2036542296409607,8.328476905822754,0.6502441167831421,-4.558821678161621,-0.283084362745285,-0.0702812522649765,-1.7604762315750122, 
12,1937832952,0.4649483263492584,-0.2836950421333313,-0.8135254383087158,-0.2037562131881714,8.485136032104492,0.6953027248382568,-4.57419490814209,-0.274734616279602,-0.6135265827178955,-1.1396756172180176, 
13,1937849619,0.4651212096214294,-0.283219039440155,-0.8136075735092163,-0.2036958187818527,8.553948402404785,0.7269142270088196,-4.581057071685791,-0.4093677699565887,0.0215979069471359,-0.2589443624019623, 
14,1937866286,0.4653795063495636,-0.2829837501049042,-0.8134987354278564,-0.2038679122924804,8.45800495147705,0.6861223578453064,-4.558535575866699,-0.946670949459076,1.1422559022903442,0.0116473753005266, 
15,1937882953,0.4657100141048431,-0.2824475765228271,-0.813463568687439,-0.2039971947669983,8.344019889831543,0.5843955874443054,-4.596794605255127,-1.1271892786026,1.4961978197097778,-0.7508618831634521, 
16,1937899620,0.4659394323825836,-0.2818800806999206,-0.813504695892334,-0.2040938138961792,8.276884078979492,0.5910739898681641,-4.618703842163086,-1.1642252206802368,0.8796489238739014,-1.3059275150299072, 
17,1937916287,0.4659823775291443,-0.2814518213272095,-0.8136059045791626,-0.2041829377412796,8.326674461364746,0.5800900459289551,-4.644265651702881,-1.3260846138000488,-0.2369430810213089,-1.3825733661651611, 
18,1937932954,0.4659213423728943,-0.2810662686824798,-0.8137752413749695,-0.2041786909103393,8.445276260375977,0.5990515947341919,-4.616611480712891,-1.2056536674499512,-1.0755029916763306,-1.2242999076843262, 
19,1937949621,0.4659542441368103,-0.2805402278900146,-0.8139708042144775,-0.204047679901123,8.527569770812988,0.6797895431518555,-4.618646144866943,-1.200953722000122,-0.761875331401825,-0.8880178928375244, 
20,1937966288,0.4660768508911133,-0.2802585959434509,-0.8139764666557312,-0.204132080078125,8.530252456665039,0.734085202217102,-4.565329551696777,-1.7038590908050537,0.5161918997764587,-0.5608668327331543, 
21,1937982955,0.4662912487983703,-0.2799999415874481,-0.813886821269989,-0.2043548226356506,8.42002010345459,0.7231386303901672,-4.57845401763916,-2.453491687774658,1.4917795658111572,-0.4965918362140655, 
22,1937999622,0.4664078056812286,-0.2798403799533844,-0.8137953877449036,-0.204671025276184,8.287887573242188,0.6515107154846191,-4.633818626403809,-3.211627721786499,1.0363346338272097,-0.4650882482528686, 
23,1938016289,0.4663880467414856,-0.2794688045978546,-0.8138992786407471,-0.2048109620809555,8.294594764709473,0.5709291696548462,-4.672555923461914,-3.435931205749512,-0.4046166539192199,-0.6386911273002625, 
24,1938032956,0.4661614298820495,-0.2795720100402832,-0.8139263391494751,-0.2050774693489074,8.44000244140625,0.5613685846328735,-4.688221454620361,-3.0313141345977783,-1.3272244930267334,-0.3825384974479675, 
25,1938049623,0.4660293459892273,-0.2795085608959198,-0.8140082359313965,-0.2051393985748291,8.545461654663086,0.5359740853309631,-4.6632890701293945,-2.558375597000122,-1.1826534271240234,0.0562262795865535, 
26,1938066290,0.4659392833709717,-0.2797695696353912,-0.813907265663147,-0.2053888589143753,8.554807662963867,0.4946947395801544,-4.626651763916016,-1.951444149017334,-0.2183354496955871,-0.0236277133226394, 
27,1938082957,0.4660846292972564,-0.2795886993408203,-0.813867449760437,-0.205463632941246,8.4840726852417,0.4749945998191833,-4.613099575042725,-0.9678526520729064,1.0008995532989502,-0.7819429039955139, 
28,1938099624,0.4663361608982086,-0.2791599929332733,-0.8138703107833862,-0.2054642289876938,8.405750274658203,0.5100765824317932,-4.612537384033203,-0.1184331327676773,1.6089707612991333,-1.6375479698181152, 
29,1938116291,0.4665299952030182,-0.2788072824478149,-0.8138691782951355,-0.2055076509714126,8.402467727661133,0.5750890374183655,-4.656036853790283,0.3015959560871124,1.38474440574646,-2.050194263458252, 
30,1938132958,0.4665857553482055,-0.2786200940608978,-0.8138689398765564,-0.2056358903646469,8.41415023803711,0.6468228101730347,-4.691845417022705,0.1586386710405349,0.6786404848098755,-2.223067045211792, 
31,1938149625,0.4666953682899475,-0.2782119512557983,-0.8139582872390747,-0.2055859118700027,8.509737014770508,0.6633575558662415,-4.703531742095947,-0.1321615278720855,0.5248746871948242,-1.7232482433319092, 
32,1938166292,0.466849684715271,-0.2780603766441345,-0.8139072060585022,-0.2056430280208587,8.543495178222656,0.6486532688140869,-4.63618803024292,-0.2262626141309738,1.2185051441192627,-1.054423689842224, 
33,1938182959,0.4671389758586883,-0.2778738141059875,-0.8137823343276978,-0.2057324200868606,8.458619117736816,0.6046558618545532,-4.572892189025879,-0.1889320760965347,2.303382158279419,-0.9728600382804872, 
34,1938199626,0.4674755930900574,-0.2776633203029632,-0.8136104941368103,-0.2059314250946045,8.37071704864502,0.5552648901939392,-4.526348114013672,-0.0142150493338704,3.007974863052368,-1.674315094947815, 
35,1938216293,0.4677576124668121,-0.2774205505847931,-0.8134772181510925,-0.2061443924903869,8.309893608093262,0.5583805441856384,-4.592031478881836,0.2743056118488312,2.6714491844177246,-2.240086555480957, 
36,1938232960,0.4680765867233276,-0.2766397595405578,-0.8136017918586731,-0.2059780657291412,8.347161293029785,0.603672444820404,-4.634517669677734,0.4404808282852173,1.762621283531189,-2.2336580753326416, 
37,1938249627,0.4680793881416321,-0.2768242955207824,-0.8134629130363464,-0.206272467970848,8.466514587402344,0.6400571465492249,-4.653675556182861,0.3044133186340332,0.9550270438194276,-1.8090121746063232, 
38,1938266294,0.4682159125804901,-0.276688665151596,-0.8134160041809082,-0.2063294351100921,8.553211212158203,0.6532813906669617,-4.613628387451172,0.2019881606101989,1.1804189682006836,-1.2556626796722412, 
39,1938282961,0.4684240520000458,-0.2767742276191711,-0.8132172226905823,-0.2065252065658569,8.614384651184082,0.6283597946166992,-4.61641263961792,0.172277420759201,2.1459665298461914,-0.891642153263092, 
40,1938299628,0.4690040051937103,-0.2762016952037811,-0.8131167888641357,-0.2063707560300827,8.57412338256836,0.6057169437408447,-4.567784309387207,0.0248379167169332,3.7169344425201416,-0.3425827026367187, 
41,1938316295,0.4695611298084259,-0.2760490179061889,-0.8128060698509216,-0.206532821059227,8.456128120422363,0.5485500693321228,-4.583481788635254,-0.003931550309062,4.556302070617676,-0.512202799320221, 
42,1938332962,0.470003992319107,-0.2758748233318329,-0.8125572800636292,-0.2067366540431976,8.349149703979492,0.5212796330451965,-4.623486518859863,0.167449414730072,3.878063678741455,-1.3136624097824097, 
43,1938349629,0.4703570604324341,-0.2755195796489715,-0.8124426007270813,-0.2068581879138946,8.448200225830078,0.5806053280830383,-4.6398515701293945,0.359647125005722,3.0041074752807617,-1.9897994995117188, 
44,1938366296,0.4705474078655243,-0.275503933429718,-0.8122565746307373,-0.2071767151355743,8.524867057800293,0.606913149356842,-4.660200595855713,0.0472234115004539,2.4439826011657715,-2.0610663890838623, 
45,1938382963,0.4708958566188812,-0.2751377522945404,-0.8121459484100342,-0.2073047906160354,8.617144584655762,0.6117802858352661,-4.5950608253479,-0.1426371186971664,2.9942846298217773,-1.817413091659546, 
46,1938399630,0.4714441299438476,-0.2748142778873443,-0.811872661113739,-0.2075584828853607,8.649542808532715,0.5304518938064575,-4.559345245361328,-0.1569034308195114,4.868405342102051,-1.75370192527771, 
47,1938416297,0.47217857837677,-0.2743807733058929,-0.8114917278289795,-0.2079513221979141,8.621143341064453,0.5251759886741638,-4.5336456298828125,0.1534136682748794,6.710995197296143,-2.6521058082580566, 
48,1938432964,0.4730885922908783,-0.2737180292606354,-0.81110018491745,-0.2082845568656921,8.478007316589355,0.5583977103233337,-4.527447700500488,0.8180120587348938,7.865628719329834,-3.0985093116760254, 
49,1938449631,0.473852664232254,-0.2734857201576233,-0.8105997443199158,-0.208799660205841,8.419153213500977,0.5791341662406921,-4.453334808349609,1.3067795038223269,7.438064098358154,-3.058938503265381, 
50,1938466298,0.4746401607990265,-0.2727429270744324,-0.8103756904602051,-0.2088522762060165,8.375733375549316,0.6087839603424072,-4.4397873878479,1.576557993888855,6.140332221984863,-2.56073260307312, 
51,1938482965,0.4753137826919555,-0.2720176577568054,-0.8102457523345947,-0.2087703198194503,8.4070463180542,0.6008260846138,-4.411372661590576,2.041991949081421,4.9148149490356445,-2.284473657608032, 
52,1938499632,0.47586190700531,-0.2716268002986908,-0.8100444674491882,-0.2088122367858886,8.422685623168945,0.657410740852356,-4.376711845397949,1.9986937046051023,4.3905229568481445,-1.952584147453308, 
53,1938516299,0.4764680862426758,-0.270897626876831,-0.8099384903907776,-0.2087879180908203,8.516942977905273,0.6562496423721313,-4.367194652557373,1.5563879013061523,4.566750526428223,-2.5744988918304443, 
54,1938532966,0.4770023226737976,-0.2703060209751129,-0.8097749352455139,-0.2089692056179046,8.515583992004395,0.6370972990989685,-4.389415740966797,1.4824055433273315,4.686939239501953,-3.366981744766236, 
55,1938549633,0.4774733483791351,-0.2696951925754547,-0.8096470832824707,-0.2091782987117767,8.556214332580566,0.6525363326072693,-4.407527923583984,1.29378080368042,4.292003631591797,-3.699652194976807, 
56,1938566300,0.4779329299926758,-0.2690042853355407,-0.8095704913139343,-0.2093148976564407,8.605439186096191,0.638900876045227,-4.375239372253418,1.220759034156799,3.966132879257202,-3.603924512863159, 
57,1938582967,0.4783690571784973,-0.2684367001056671,-0.8094685077667236,-0.2094410359859466,8.693881034851074,0.6387568116188049,-4.3546528816223145,1.4666409492492676,3.77671480178833,-3.212857484817505, 
58,1938599634,0.4789102673530578,-0.2678305506706238,-0.8093208074569702,-0.2095518261194229,8.727567672729492,0.6324089169502258,-4.299479007720947,1.7650929689407349,4.520673751831055,-3.120408058166504, 
59,1938616301,0.4796054363250732,-0.2671672999858856,-0.8090863823890686,-0.209713339805603,8.681861877441406,0.6774588823318481,-4.211419105529785,1.875842571258545,5.82051944732666,-3.24739670753479, 
60,1938632968,0.4803519546985626,-0.266539067029953,-0.80878746509552,-0.2099573463201522,8.56095027923584,0.6413446664810181,-4.178512096405029,1.7576783895492554,6.4358906745910645,-3.3575186729431152, 
61,1938649635,0.481064110994339,-0.2659246623516083,-0.8085141181945801,-0.2101580202579498,8.496152877807617,0.5708919763565063,-4.146555423736572,1.692532300949097,6.01947832107544,-3.113429069519043, 
62,1938666302,0.4816978871822357,-0.2652173042297363,-0.808367133140564,-0.2101652920246124,8.484241485595703,0.4563700258731842,-4.143195629119873,2.1552131175994877,4.841140270233154,-2.8613743782043457, 
63,1938682969,0.482214868068695,-0.2646577358245849,-0.8082485198974609,-0.2101411968469619,8.51888656616211,0.3733273446559906,-4.143909454345703,3.1741368770599365,3.95949912071228,-2.940376281738281, 
64,1938699636,0.4827297031879425,-0.2640458047389984,-0.8081777095794678,-0.2100011259317398,8.665943145751953,0.4019454419612884,-4.10642147064209,4.163159370422363,3.6541709899902335,-3.027690887451172, 
65,1938716303,0.4833708107471466,-0.2631653249263763,-0.808148980140686,-0.2097430825233459,8.631524085998535,0.4235945045948028,-4.06472635269165,4.727138042449951,4.247129917144775,-3.4209988117218018, 
66,1938732970,0.4839814603328705,-0.2622654736042022,-0.8081107139587402,-0.2096086591482162,8.525861740112305,0.4230227768421173,-4.006458759307861,4.936253070831299,4.423871040344238,-4.443573474884033, 
67,1938749637,0.4845100343227386,-0.2612434029579162,-0.8081557750701904,-0.2094901800155639,8.369975090026855,0.4089113175868988,-4.028319358825684,4.980781078338623,3.852605819702149,-5.347139358520508, 
68,1938766304,0.4849152863025665,-0.2602227926254272,-0.8082742094993591,-0.2093661278486251,8.413826942443848,0.4326653480529785,-4.037038803100586,4.863564491271973,2.9009652137756348,-5.641467094421387, 
69,1938782971,0.4852723479270935,-0.2594648003578186,-0.8083266019821167,-0.2092779576778412,8.483196258544922,0.515383243560791,-4.123963356018066,4.800953388214111,2.648436546325684,-4.864645481109619, 
70,1938799638,0.4856781363487243,-0.2588122189044952,-0.808356523513794,-0.2090280652046203,8.512295722961426,0.5465593934059143,-4.104273796081543,4.409323215484619,2.458096027374268,-3.1496453285217285, 
71,1938816305,0.4859942495822906,-0.2583721876144409,-0.8083852529525757,-0.2087267190217971,8.605207443237305,0.4810009598731994,-4.118758201599121,4.077164173126221,1.587571144104004,-2.0561363697052, 
72,1938832972,0.4860015511512756,-0.2579498887062073,-0.8086176514625549,-0.2083313167095184,8.443683624267578,0.3338160216808319,-4.230586528778076,3.945131063461304,-1.0400421619415283,-2.297869205474853, 
73,1938849639,0.4855959713459015,-0.2574335038661957,-0.8091590404510498,-0.207813411951065,8.55345630645752,0.2796494662761688,-4.385722160339356,3.7670974731445312,-4.521512508392334,-3.148633480072021, 
74,1938866306,0.4848318099975586,-0.2569796741008758,-0.8098812699317932,-0.2073455601930618,8.702322006225586,0.2255874127149582,-4.510496139526367,4.003489971160889,-6.990744590759277,-4.385343551635742, 
75,1938882973,0.4841108322143554,-0.2564559876918793,-0.8105642795562744,-0.2070093750953674,9.183489799499512,0.3341829180717468,-4.553138256072998,4.396382808685303,-6.175646781921387,-5.567728519439697, 
76,1938899640,0.4840279817581177,-0.2556135356426239,-0.8109365105628967,-0.2067872136831283,9.53917407989502,0.3962243795394897,-4.4042253494262695,4.89353084564209,-0.9868574142456056,-6.001683712005615, 
77,1938916307,0.4848461747169494,-0.2545067369937897,-0.8108095526695251,-0.2067327350378036,9.372008323669434,0.3895607888698578,-4.136552810668945,5.5014495849609375,6.318763732910156,-5.802852630615234, 
78,1938932974,0.4861990213394165,-0.253305584192276,-0.8103541731834412,-0.2068165838718414,8.681962966918945,0.2128239721059799,-3.8936283588409424,5.942296981811523,10.768514633178713,-5.696921348571777, 
79,1938949641,0.4875061810016632,-0.2519570887088775,-0.8100161552429199,-0.2067101299762725,8.06403923034668,-0.0199518483132123,-3.7372896671295166,7.815720558166504,9.99067497253418,-6.305606842041016, 
80,1938966308,0.4884383380413055,-0.2504598200321197,-0.8100501298904419,-0.2061956375837326,8.064208030700684,-0.0357691794633865,-3.5863125324249268,10.180984497070312,6.118794918060303,-6.860877990722656, 
81,1938982975,0.4889976978302002,-0.2490377426147461,-0.8103510141372681,-0.2054093331098556,8.551448822021484,0.1022485867142677,-3.4556896686553955,11.121302604675291,2.5395708084106445,-6.5481462478637695, 
82,1938999642,0.4894298315048218,-0.2477777898311615,-0.8107050061225891,-0.2045051902532577,8.918317794799805,-0.1705398708581924,-3.4663877487182617,10.97248077392578,1.1539872884750366,-5.508334636688232, 
83,1939016309,0.4899452328681946,-0.2464309930801391,-0.8110594153404236,-0.2034900039434433,8.904056549072266,-0.8429832458496094,-3.5804543495178223,12.484452247619627,1.5266011953353882,-5.804315090179443, 
84,1939032976,0.4906798899173736,-0.2444058209657669,-0.811623215675354,-0.2019077092409134,8.713765144348145,-1.568744659423828,-3.742649793624878,18.47261619567871,1.9656556844711304,-7.80806827545166, 
85,1939049643,0.4914596974849701,-0.2413388192653656,-0.8126799464225769,-0.1994353830814361,8.482805252075195,-1.8591508865356443,-3.953584909439087,27.84712791442871,0.4860281646251678,-11.661327362060549, 
86,1939066310,0.4921916425228119,-0.237150564789772,-0.8143219947814941,-0.1959253996610641,8.6686429977417,-1.583035230636597,-4.066399097442627,38.01352310180664,-1.967476725578308,-15.619817733764648, 
87,1939082977,0.493023931980133,-0.2321195006370544,-0.8163021802902222,-0.1915701180696487,8.963041305541992,-1.1814759969711304,-4.117837429046631,46.1182861328125,-2.820847272872925,-18.0427360534668, 
88,1939099644,0.4942789375782013,-0.2265188544988632,-0.8182768225669861,-0.1865497827529907,9.274364471435549,-0.9301489591598512,-4.059521675109863,52.436771392822266,-0.7757081389427185,-18.564701080322266, 
89,1939116311,0.496016263961792,-0.2206958085298538,-0.8200945258140564,-0.1808485835790634,9.165323257446287,-0.7037322521209717,-3.9909069538116455,57.1391487121582,1.598482966423035,-16.543481826782227, 
90,1939132978,0.4978904724121094,-0.2149796187877655,-0.8218197226524353,-0.1746459603309631,9.125531196594238,-0.5959399938583374,-3.916612148284912,59.65685272216797,1.725422501564026,-13.989361763000488, 
91,1939149645,0.4998109340667724,-0.2092445790767669,-0.8235167264938354,-0.1680061519145965,8.97579574584961,-0.5743817687034607,-3.727592468261719,61.05991744995117,1.298767328262329,-11.99302864074707, 
92,1939166312,0.5016943216323853,-0.2034801244735717,-0.8251659870147705,-0.1612450182437896,8.946959495544434,-0.723656415939331,-3.58302640914917,61.71372604370117,1.037142992019653,-11.762423515319824, 
93,1939182979,0.5036081075668335,-0.1973697990179062,-0.8267821669578552,-0.1544522196054458,9.03325653076172,-0.9314247965812684,-3.5403103828430176,63.06636047363281,1.578380107879639,-13.585949897766112, 
94,1939199646,0.5057678818702698,-0.190727099776268,-0.8282784223556519,-0.1475703120231628,9.044528007507324,-1.0280181169509888,-3.609128713607788,65.5916519165039,3.74721097946167,-15.93945598602295, 
95,1939216313,0.5081170797348022,-0.1837358176708221,-0.8296381831169128,-0.1405650377273559,8.838614463806152,-0.861572802066803,-3.57338285446167,67.58635711669922,5.405101776123047,-17.1866397857666, 
96,1939232980,0.5103028416633606,-0.1768767833709716,-0.8309417963027954,-0.1335722357034683,8.63802433013916,-0.6257211565971375,-3.53655743598938,66.77066802978516,4.478660583496094,-16.604564666748047, 
97,1939249647,0.5120635628700256,-0.1702925562858581,-0.8322756886482239,-0.1269196718931198,8.435977935791016,-0.5780227184295654,-3.4597866535186768,63.36201095581055,2.0328080654144287,-16.674894332885742, 
98,1939266314,0.5135239958763123,-0.1637911200523376,-0.8335850238800049,-0.1208382397890091,8.692745208740234,-0.8414871096611023,-3.444653987884521,59.41994857788086,0.9316619038581848,-18.456758499145508, 
99,1939282981,0.5150126814842224,-0.1570980697870254,-0.8347512483596802,-0.1152067929506301,8.934212684631348,-1.2606523036956787,-3.426900148391724,57.41439437866211,2.19315505027771,-20.989429473876957, 
100,1939299648,0.5167298316955566,-0.1499415934085846,-0.8357501029968262,-0.1096815317869186,9.12729263305664,-1.8336024284362795,-3.413580894470215,58.53223037719727,4.496488094329834,-23.72037696838379, 
101,1939316315,0.5189865827560425,-0.141974538564682,-0.8365079164505005,-0.1036858335137367,9.237804412841797,-2.0455191135406494,-3.3112354278564453,64.44637298583984,8.489692687988281,-26.145936965942383, 
102,1939332982,0.5215960741043091,-0.1335653364658355,-0.8370546698570251,-0.0971474349498748,9.064253807067873,-1.6686712503433228,-2.954311847686768,69.2933349609375,10.955459594726562,-26.3991641998291, 
103,1939349649,0.5242065191268921,-0.1251050978899002,-0.8374926447868347,-0.0903464928269386,8.700223922729492,-1.3553094863891602,-2.6402480602264404,70.88719177246094,11.022356033325195,-25.721792221069336, 
104,1939366316,0.5265888571739197,-0.1166392117738723,-0.8379310965538025,-0.0834931805729866,8.481791496276855,-1.4837687015533447,-2.523280143737793,70.99626922607422,9.540848731994627,-25.752016067504883, 
